ObservationId,TextUrn,TextReading,ImageReference,Comments
urn:cite:openpal:team3.26,[TextUrn]@ο[5],ο,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.264,0.4416,0.0101,0.0113",omicron
urn:cite:openpal:team3.27,[TextUrn]@υ[5],υ,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.2716,0.4445,0.0138,0.0085",upsilon
urn:cite:openpal:team3.28,[TextUrn]@κ[5],κ,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.2841,0.4388,0.0138,0.0141",kappa
urn:cite:openpal:team3.29,[TextUrn]@υ[6],υ,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.2942,0.4454,0.0113,0.0075",upsilon
urn:cite:openpal:team3.30,[TextUrn]@κ[6],κ,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.3055,0.4407,0.0113,0.0123",kappa
urn:cite:openpal:team3.31,[TextUrn]@λ[1],λ,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.3055,0.4407,0.0214,0.0217",lambda
urn:cite:openpal:team3.32,[TextUrn]@ο[6],ο,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.3219,0.4416,0.0126,0.0113",omicron
urn:cite:openpal:team3.33,[TextUrn]@υ[7],υ,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.3319,0.4426,0.0113,0.0104",upsilon
urn:cite:openpal:team3.34,[TextUrn]@ο[7],ο,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.3395,0.4416,0.0126,0.0113",omicron
urn:cite:openpal:team3.35,[TextUrn]@σ[2],σ,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.3482,0.4407,0.0176,0.0123",sigma
urn:cite:openpal:team3.36,[TextUrn]@εστ[1],εστ,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.3646,0.4388,0.0201,0.017",epsilon-sigma-tau ligature
urn:cite:openpal:team3.37,[TextUrn]@ι[2],ι,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.3822,0.4426,0.0088,0.0113",iota
urn:cite:openpal:team3.38,[TextUrn]@ν[3],ν,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.391,0.4416,0.0138,0.0151",nu
urn:cite:openpal:team3.39,[TextUrn]@β[1],β,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.4036,0.4416,0.0151,0.0113",beta
urn:cite:openpal:team3.40,[TextUrn]@α[2],α,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.4161,0.4416,0.0126,0.0094",alpha
